### Matchday 1
Crystal Palace | Everton
Tottenham Hotspur | Brentford
Aston Villa | Brighton & Hove Albion
### Matchday 32
Brighton & Hove Albion | Chelsea
Fulham | Sunderland
Brentford | Leeds United
Nottingham Forest | Liverpool
Hull City | Coventry City
Arsenal | Aston Villa
Ipswich Town | Manchester United
Manchester City | Crystal Palace
Newcastle United | Tottenham Hotspur
Everton | AFC Bournemouth
### Matchday 33
Chelsea | Manchester City
AFC Bournemouth | Arsenal
Tottenham Hotspur | Hull City
Manchester United | Crystal Palace
Everton | Brighton & Hove Albion
Nottingham Forest | Sunderland
Newcastle United | Ipswich Town
Aston Villa | Coventry City
Brentford | Fulham
Leeds United | Liverpool
### Matchday 34
Sunderland | Newcastle United
Brighton & Hove Albion | Nottingham Forest
Coventry City | Manchester United
Hull City | AFC Bournemouth
Manchester City | Brentford
Fulham | Everton
Liverpool | Chelsea
Arsenal | Tottenham Hotspur
Crystal Palace | Aston Villa
Ipswich Town | Leeds United
### Matchday 35
Manchester City | Liverpool
Leeds United | Arsenal
Fulham | Ipswich Town
Nottingham Forest | Crystal Palace
Brentford | Aston Villa
Newcastle United | Coventry City
Brighton & Hove Albion | Sunderland
Tottenham Hotspur | Chelsea
Everton | Hull City
AFC Bournemouth | Manchester United
### Matchday 36
Hull City | Fulham
Manchester United | Leeds United
Crystal Palace | Brighton & Hove Albion
Aston Villa | Newcastle United
Chelsea | Everton
Coventry City | Tottenham Hotspur
Sunderland | AFC Bournemouth
Liverpool | Brentford
Ipswich Town | Manchester City
Arsenal | Nottingham Forest
### Matchday 37
Brentford | Hull City
Newcastle United | Crystal Palace
Tottenham Hotspur | Manchester United
Leeds United | Sunderland
Brighton & Hove Albion | Liverpool
Nottingham Forest | Ipswich Town
AFC Bournemouth | Chelsea
Fulham | Coventry City
Everton | Arsenal
Manchester City | Aston Villa
### Matchday 38
Ipswich Town | Everton
Arsenal | Brighton & Hove Albion
Liverpool | AFC Bournemouth
Coventry City | Nottingham Forest
Aston Villa | Tottenham Hotspur
Hull City | Newcastle United
Manchester United | Fulham
Sunderland | Manchester City
Chelsea | Brentford
Crystal Palace | Leeds United
